Iteration,Wolf_ID,X,Y,Fitness,Role
12,23,1.3857,0.510747,24.6009,omega
12,24,1.38994,0.850874,1.92858,omega
12,25,0.313383,0.758154,44.8428,omega
12,26,0.477747,0.674023,0.564962,omega
12,27,0.351557,0.573108,64.1209,omega
12,28,0.603754,0.977163,4.59826,omega
12,29,1.02199,0.34765,3.72512,omega
12,30,0.596212,0.54555,9.82621,omega
13,1,0.643884,0.413691,90.9574,omega
13,2,0.766506,1.73503,60.2815,omega
13,3,0.555934,0.611376,10.5201,omega
13,4,0.848148,0.787268,0.631201,omega
13,5,0.853141,0.635857,0.189889,omega
13,6,0.423486,0.576843,0.68867,omega
13,7,0.931512,0.447304,0.922999,omega
13,8,1.16094,0.528017,26.9828,omega
13,9,1.43135,1.28693,124.539,omega
13,10,1.03665,0.691456,122.932,omega
13,11,0.463043,0.553532,5.61793,omega
13,12,0.600403,0.690523,0.0417044,omega
13,13,0.79796,0.762015,22.9085,omega
13,14,0.788477,0.586655,0.741557,omega
13,15,1.42369,-0.0907266,231.659,omega
13,16,0.0969195,0.678156,30.5663,omega
13,17,1.14895,0.270899,123.25,omega
13,18,1.17996,0.673638,27.7038,omega
13,19,1.04783,0.830265,103.627,omega
13,20,0.82494,0.661868,6.35302,omega
13,21,0.901891,0.433193,0.237234,omega
13,22,0.38925,0.418776,53.1281,omega
13,23,0.820459,0.2261,198.796,omega
13,24,0.262222,0.806793,117.019,omega
13,25,0.575502,0.812053,44.0242,omega
13,26,0.364274,0.55693,20.1448,omega
13,27,0.843761,0.508696,20.6268,omega
13,28,1.00283,0.865527,37.6903,omega
13,29,0.86643,-0.014629,48.5559,omega
13,30,0.829379,0.48779,3.77615,omega
14,1,0.517516,0.558507,0.126899,omega
14,2,0.800049,1.51565,131.731,omega
14,3,1.14957,0.811642,9.33652,omega
14,4,0.731016,0.873529,0.484286,omega
14,5,0.92608,0.595681,0.86783,omega
14,6,0.576642,0.737405,16.1332,omega
14,7,1.0426,0.952187,17.6792,omega
14,8,-0.0926828,0.765099,67.2283,omega
14,9,0.865022,0.401888,58.2258,omega
14,10,1.09279,0.76767,14.6847,omega
14,11,1.09825,0.861396,11.7888,omega
14,12,1.0952,0.661771,11.0522,omega
14,13,0.704203,0.69372,1.6102,omega
14,14,0.81443,0.818627,0.16753,omega
14,15,1.86489,1.15242,448.616,omega
14,16,1.22786,0.641701,45.5398,omega
14,17,1.21832,0.741514,110.102,omega
14,18,1.26243,0.551278,51.6805,omega
14,19,0.820403,0.781463,7.16737,omega
14,20,0.360546,0.958631,0.0654615,omega
14,21,0.509449,0.620152,14.466,omega
14,22,0.514999,0.670154,7.51585,omega
14,23,0.652416,0.77685,20.0179,omega
14,24,0.600629,0.225363,55.0134,omega
14,25,0.565011,0.737553,23.3019,omega
14,26,0.727465,1.02677,18.4016,omega
14,27,1.06934,0.770131,4.15489,omega
14,28,1.0985,0.693609,1.96415,omega
14,29,1.03779,1.07458,58.5909,omega
14,30,1.13711,0.571934,4.03232,omega
15,1,0.98845,0.779508,8.68252,omega
15,2,1.17901,0.82165,76.7018,omega
15,3,0.472355,1.32469,26.0198,omega
15,4,1.19382,1.12136,11.5743,omega
15,5,0.56881,1.01437,6.86691,omega
15,6,0.360219,0.705914,16.5727,omega
15,7,0.901851,0.874089,1.81977,omega
15,8,0.963124,0.488812,58.4246,omega
15,9,0.296098,1.02826,12.0158,omega
15,10,1.11551,1.23137,18.2,omega
15,11,0.706721,0.682244,11.8947,omega
15,12,1.06112,0.900276,28.9202,omega
15,13,0.853177,0.432724,4.0007,omega
15,14,0.824677,0.945776,2.44718,omega
15,15,2.03956,0.770695,541.495,omega
15,16,0.990263,0.808112,75.0365,omega
15,17,1.23303,1.00558,55.2205,omega
15,18,0.584952,0.387993,108.738,omega
15,19,1.20849,1.04572,1.20736,omega
15,20,1.07767,1.09841,69.0729,omega
15,21,0.669112,0.898218,13.2448,omega
15,22,0.927041,0.593833,16.632,omega
15,23,1.1675,0.558213,12.4552,omega
15,24,1.37249,1.04456,1.9926,omega
15,25,1.11257,0.58288,17.688,omega
15,26,0.608281,0.995679,24.8314,omega
15,27,0.740412,0.336969,13.9438,omega
15,28,0.499607,0.81014,26.3353,omega
15,29,1.13216,1.01093,0.00202084,omega
15,30,0.531938,1.10232,52.0145,omega
16,1,1.24995,1.10233,3.90174,omega
16,2,0.475048,0.865866,32.3424,omega
16,3,0.369503,1.22899,121.624,omega
16,4,0.532533,0.408407,9.27064,omega
16,5,1.36497,0.856352,47.9093,omega
